time,summary,venue,location,intensity,duration_hours,is_weekend,hour,day_of_week,month,year
2026-08-06 15:00:00+00:00,2026 AFL Round 22: Sydney Swans v Port Adelaide FC*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,15,3,8,2026
2026-08-06 16:00:00+00:00,2026 AFL Round 22: Sydney Swans v Port Adelaide FC*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,16,3,8,2026
2026-08-07 14:00:00+00:00,2026 AFL Round 22: Sydney Swans v Port Adelaide FC*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,14,4,8,2026
2026-08-07 15:00:00+00:00,2026 AFL Round 22: Sydney Swans v Port Adelaide FC*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,15,4,8,2026
2026-08-07 16:00:00+00:00,2026 AFL Round 22: Sydney Swans v Port Adelaide FC*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,16,4,8,2026
2026-08-08 14:00:00+00:00,2026 AFL Round 22: Sydney Swans v Port Adelaide FC*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,1,14,5,8,2026
2026-08-08 15:00:00+00:00,2026 AFL Round 22: Sydney Swans v Port Adelaide FC*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,1,15,5,8,2026
2026-08-08 16:00:00+00:00,2026 AFL Round 22: Sydney Swans v Port Adelaide FC*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,1,16,5,8,2026
2026-08-19 14:00:00+00:00,2026 AFL Round 24: Sydney Swans v North Melbourne FC*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,14,2,8,2026
2026-08-19 15:00:00+00:00,2026 AFL Round 24: Sydney Swans v North Melbourne FC*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,15,2,8,2026
2026-08-19 16:00:00+00:00,2026 AFL Round 24: Sydney Swans v North Melbourne FC*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,16,2,8,2026
2026-08-20 14:00:00+00:00,2026 AFL Round 24: Sydney Swans v North Melbourne FC*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,14,3,8,2026
2026-08-20 15:00:00+00:00,2026 AFL Round 24: Sydney Swans v North Melbourne FC*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,15,3,8,2026
2026-08-20 16:00:00+00:00,2026 AFL Round 24: Sydney Swans v North Melbourne FC*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,16,3,8,2026
2026-08-21 14:00:00+00:00,2026 AFL Round 24: Sydney Swans v North Melbourne FC*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,14,4,8,2026
2026-08-21 15:00:00+00:00,2026 AFL Round 24: Sydney Swans v North Melbourne FC*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,15,4,8,2026
2026-08-21 16:00:00+00:00,2026 AFL Round 24: Sydney Swans v North Melbourne FC*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,16,4,8,2026
2026-08-22 14:00:00+00:00,2026 AFL Round 24: Sydney Swans v North Melbourne FC*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,1,14,5,8,2026
2026-08-22 15:00:00+00:00,2026 AFL Round 24: Sydney Swans v North Melbourne FC*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,1,15,5,8,2026
2026-08-22 16:00:00+00:00,2026 AFL Round 24: Sydney Swans v North Melbourne FC*,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,1,16,5,8,2026
2026-11-29 08:15:00+00:00,Mens T20I Series: Australia v England,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,3.25,1,8,6,11,2026
2026-11-29 09:15:00+00:00,Mens T20I Series: Australia v England,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,3.25,1,9,6,11,2026
2026-11-29 10:15:00+00:00,Mens T20I Series: Australia v England,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,3.25,1,10,6,11,2026
2026-11-29 11:15:00+00:00,Mens T20I Series: Australia v England,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,3.25,1,11,6,11,2026
2027-01-03 23:30:00+00:00,2027-27 New Year's Test: Australia v New Zealand,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,1,23,6,1,2027
2027-01-04 00:30:00+00:00,2027-27 New Year's Test: Australia v New Zealand,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,1,0,0,1,2027
2027-01-04 01:30:00+00:00,2027-27 New Year's Test: Australia v New Zealand,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,1,1,0,1,2027
2027-01-04 23:30:00+00:00,2027-27 New Year's Test: Australia v New Zealand,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,23,0,1,2027
2027-01-05 00:30:00+00:00,2027-27 New Year's Test: Australia v New Zealand,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,0,1,1,2027
2027-01-05 01:30:00+00:00,2027-27 New Year's Test: Australia v New Zealand,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,1,1,1,2027
2027-01-06 23:30:00+00:00,2027-27 New Year's Test: Australia v New Zealand,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,23,2,1,2027
2027-01-07 00:30:00+00:00,2027-27 New Year's Test: Australia v New Zealand,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,0,3,1,2027
2027-01-07 01:30:00+00:00,2027-27 New Year's Test: Australia v New Zealand,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,1,3,1,2027
2027-01-05 23:30:00+00:00,2027-27 New Year's Test: Australia v New Zealand,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,23,1,1,2027
2027-01-06 00:30:00+00:00,2027-27 New Year's Test: Australia v New Zealand,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,0,2,1,2027
2027-01-06 01:30:00+00:00,2027-27 New Year's Test: Australia v New Zealand,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,1,2,1,2027
2027-01-07 23:30:00+00:00,2027-27 New Year's Test: Australia v New Zealand,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,23,3,1,2027
2027-01-08 00:30:00+00:00,2027-27 New Year's Test: Australia v New Zealand,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,0,4,1,2027
2027-01-08 01:30:00+00:00,2027-27 New Year's Test: Australia v New Zealand,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.0,0,1,4,1,2027
2026-04-23 05:13:00+00:00,Welcome to the SCG!,other,Proudly powered by ECAL,1,0.25,0,5,3,4,2026
2026-06-07 05:15:00+00:00,2026 AFL Round 13: Sydney Swans v St Kilda FC,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.75,1,5,6,6,2026
2026-06-07 06:15:00+00:00,2026 AFL Round 13: Sydney Swans v St Kilda FC,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.75,1,6,6,6,2026
2026-06-07 07:15:00+00:00,2026 AFL Round 13: Sydney Swans v St Kilda FC,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,2.75,1,7,6,6,2026
2026-05-15 09:30:00+00:00,2026 AFL Round 10: Sydney Swans v Collingwood FC,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,3.0,0,9,4,5,2026
2026-05-15 10:30:00+00:00,2026 AFL Round 10: Sydney Swans v Collingwood FC,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,3.0,0,10,4,5,2026
2026-05-15 11:30:00+00:00,2026 AFL Round 10: Sydney Swans v Collingwood FC,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,3.0,0,11,4,5,2026
2026-05-15 12:30:00+00:00,2026 AFL Round 10: Sydney Swans v Collingwood FC,scg,"Sydney Cricket Ground, Driver Ave, Moore Park NSW 2021",1,3.0,0,12,4,5,2026
