event_id,event_name,venue,event_type,event_category,sport_or_category,date,start_time,end_time,start,end,attendance,attendance_source,source,competition,round,home_team,away_team,home_score,away_score,result,year,month,day,day_of_week,start_hour,end_hour,is_weekend,source_url,notes
166,Rugby League: Sydney v North Qld,Sydney Football Stadium / Allianz Stadium,rugby_league,sport,rugby league,2018-08-04,,,,,9721.0,reported_crowd,Rugby League Project,NRL Premiership 2018,Round 21,Sydney,North Qld,26.0,20.0,Sydney 26 - 20 North Qld,2018,8,4,Saturday,,,1,https://www.rugbyleagueproject.org/matches/36679,Rugby League Project venue row; listed venue = Allianz Stadium
167,Rugby League: Sydney v Brisbane,Sydney Football Stadium / Allianz Stadium,rugby_league,sport,rugby league,2018-08-25,,,,,13263.0,reported_crowd,Rugby League Project,NRL Premiership 2018,Round 24,Sydney,Brisbane,8.0,22.0,Sydney 8 - 22 Brisbane,2018,8,25,Saturday,,,1,https://www.rugbyleagueproject.org/matches/36703,Rugby League Project venue row; listed venue = Allianz Stadium
168,Rugby League: Sydney v Cronulla,Sydney Football Stadium / Allianz Stadium,rugby_league,sport,rugby league,2018-09-08,,,,,24588.0,reported_crowd,Rugby League Project,NRL Premiership 2018,Qualif Final,Sydney,Cronulla,21.0,12.0,Sydney 21 - 12 Cronulla,2018,9,8,Saturday,,,1,https://www.rugbyleagueproject.org/matches/38341,Rugby League Project venue row; listed venue = Allianz Stadium
169,Rugby League: Cronulla v Penrith,Sydney Football Stadium / Allianz Stadium,rugby_league,sport,rugby league,2018-09-14,,,,,19211.0,reported_crowd,Rugby League Project,NRL Premiership 2018,Semi Final,Cronulla,Penrith,21.0,20.0,Cronulla 21 - 20 Penrith,2018,9,14,Friday,,,0,https://www.rugbyleagueproject.org/matches/38343,Rugby League Project venue row; listed venue = Allianz Stadium
170,Rugby League: Sydney v Brisbane,Sydney Football Stadium / Allianz Stadium,rugby_league,sport,rugby league,2018-09-14,,,,,19211.0,reported_crowd,Rugby League Project,NRLW Premiership 2018,Round 2,Sydney,Brisbane,4.0,14.0,Sydney 4 - 14 Brisbane,2018,9,14,Friday,,,0,https://www.rugbyleagueproject.org/matches/44898,Rugby League Project venue row; listed venue = Allianz Stadium
171,Rugby League: Sydney v South Sydney,Sydney Football Stadium / Allianz Stadium,rugby_league,sport,rugby league,2018-09-22,,,,,44380.0,reported_crowd,Rugby League Project,NRL Premiership 2018,Prelim Final,Sydney,South Sydney,12.0,4.0,Sydney 12 - 4 South Sydney,2018,9,22,Saturday,,,1,https://www.rugbyleagueproject.org/matches/38346,Rugby League Project venue row; listed venue = Allianz Stadium
172,Rugby League: Sydney v St Geo Illa,Sydney Football Stadium / Allianz Stadium,rugby_league,sport,rugby league,2018-09-22,,,,,44380.0,reported_crowd,Rugby League Project,NRLW Premiership 2018,Round 3,Sydney,St Geo Illa,26.0,0.0,Sydney 26 - 0 St Geo Illa,2018,9,22,Saturday,,,1,https://www.rugbyleagueproject.org/matches/44901,Rugby League Project venue row; listed venue = Allianz Stadium
173,Busby Marou,Sydney Football Stadium / Allianz Stadium,concert,concert,concert/performance,2018-10-05,,,,,,,setlist.fm,,,,,,,,2018,10,5,Friday,,,0,https://www.setlist.fm/venue/allianz-stadium-sydney-australia-6bd4f23e.html,setlist.fm venue listing; attendance usually unavailable
174,Guy Sebastian,Sydney Football Stadium / Allianz Stadium,concert,concert,concert/performance,2018-10-05,,,,,,,setlist.fm,,,,,,,,2018,10,5,Friday,,,0,https://www.setlist.fm/venue/allianz-stadium-sydney-australia-6bd4f23e.html,setlist.fm venue listing; attendance usually unavailable
175,Michael Bublé,Sydney Football Stadium / Allianz Stadium,concert,concert,concert/performance,2018-10-05,,,,,,,setlist.fm,,,,,,,,2018,10,5,Friday,,,0,https://www.setlist.fm/venue/allianz-stadium-sydney-australia-6bd4f23e.html,setlist.fm venue listing; attendance usually unavailable
