event_name,venue,event_type,sport_or_category,date,time,start,end,estimated_attendance,attendance_source,source_url,scrape_source,year,month,day,day_of_week,is_weekend,hour
Sneaky Sound System,Sydney Cricket Ground,concert,concert/performance,2025-12-26,,,,,,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives,2025.0,12.0,26.0,Friday,0,
"49,574",Sydney Cricket Ground,sport,All Stadiums,2026-01-04,10:30AM,2026-01-04 10:30:00,,49574.0,Austadiums listed crowd,https://www.austadiums.com/sport/event/31012,Austadiums,2026.0,1.0,4.0,Sunday,1,10.0
"11,042",Sydney Cricket Ground,sport,"49,574",2026-02-15,7:15PM,2026-02-15 19:15:00,,11042.0,Austadiums listed crowd,https://www.austadiums.com/sport/event/31859,Austadiums,2026.0,2.0,15.0,Sunday,1,19.0
5th Ashes Test: Australia v England (d5),Sydney Cricket Ground,cricket,Cricket,,10:00AM,,,,Austadiums listed crowd,https://www.austadiums.com/sport/event/31844,Austadiums,,,,,0,
5th Ashes Test: Australia v England (d2),Sydney Cricket Ground,cricket,Cricket,,10:00AM,,,,Austadiums listed crowd,https://www.austadiums.com/sport/event/31841,Austadiums,,,,,0,
5th Ashes Test: Australia v England (d3),Sydney Cricket Ground,cricket,Cricket,,10:00AM,,,,Austadiums listed crowd,https://www.austadiums.com/sport/event/31842,Austadiums,,,,,0,
5th Ashes Test: Australia v England (d1),Sydney Cricket Ground,cricket,Cricket,,10:30AM,,,,Austadiums listed crowd,https://www.austadiums.com/sport/event/31012,Austadiums,,,,,0,
5th Test: Australia v India (d1),Sydney Cricket Ground,cricket,Cricket,,10:30AM,,,,Austadiums listed crowd,https://www.austadiums.com/sport/event/30062,Austadiums,,,,,0,
5th Test: Australia v India (d2),Sydney Cricket Ground,cricket,Cricket,,10:30AM,,,,Austadiums listed crowd,https://www.austadiums.com/sport/event/30063,Austadiums,,,,,0,
5th Test: Australia v India (d3),Sydney Cricket Ground,cricket,Cricket,,10:30AM,,,,Austadiums listed crowd,https://www.austadiums.com/sport/event/30064,Austadiums,,,,,0,
5th Test: Australia v England (d1),Sydney Cricket Ground,cricket,Cricket,,11:00AM,,,,Austadiums listed crowd,https://www.austadiums.com/sport/event/5775,Austadiums,,,,,0,
5th Test: Australia v England (d2),Sydney Cricket Ground,cricket,Cricket,,11:00AM,,,,Austadiums listed crowd,https://www.austadiums.com/sport/event/5776,Austadiums,,,,,0,
BBL: Sydney Sixers v Hobart Hurricanes,Sydney Cricket Ground,cricket,Cricket,,2:05PM,,,,Austadiums listed crowd,https://www.austadiums.com/sport/event/32328,Austadiums,,,,,0,
The Wiggles,Sydney Cricket Ground,concert,concert/performance,,3:00PM,,,,,https://www.setlist.fm/venue/sydney-cricket-ground-sydney-australia-63d626d7.html,setlist.fm,,,,,0,
AFL: Sydney Swans v Melbourne,Sydney Cricket Ground,afl,Aus Football,,3:15PM,,,,Austadiums listed crowd,https://www.austadiums.com/sport/event/33169,Austadiums,,,,,0,
Young Franco,Sydney Cricket Ground,concert,concert/performance,,3:15PM,,,,,https://www.setlist.fm/venue/sydney-cricket-ground-sydney-australia-63d626d7.html,setlist.fm,,,,,0,
AFL Finals: Sydney Swans v Essendon,Sydney Cricket Ground,afl,Aus Football,,4:20PM,,,,Austadiums listed crowd,https://www.austadiums.com/sport/event/19771,Austadiums,,,,,0,
AFL: PF - Sydney Swans v Collingwood,Sydney Cricket Ground,afl,Aus Football,,4:45PM,,,,Austadiums listed crowd,https://www.austadiums.com/sport/event/27287,Austadiums,,,,,0,
AFL: Sydney Swans v Brisbane Lions,Sydney Cricket Ground,afl,Aus Football,,7:10PM,,,,Austadiums listed crowd,https://www.austadiums.com/sport/event/33118,Austadiums,,,,,0,
T20W: Australia v India,Sydney Cricket Ground,cricket,Cricket,,7:15PM,,,,Austadiums listed crowd,https://www.austadiums.com/sport/event/31859,Austadiums,,,,,0,
BBL: The Challenger - Sixers v Hurricanes,Sydney Cricket Ground,cricket,Cricket,,7:15PM,,,,Austadiums listed crowd,https://www.austadiums.com/sport/event/32340,Austadiums,,,,,0,
BBL: Sydney Sixers v Sydney Thunder,Sydney Cricket Ground,cricket,Cricket,,7:15PM,,,,Austadiums listed crowd,https://www.austadiums.com/sport/event/32334,Austadiums,,,,,0,
AFL: Sydney Swans v Collingwood,Sydney Cricket Ground,afl,Aus Football,,7:30PM,,,,Austadiums listed crowd,https://www.austadiums.com/sport/event/33181,Austadiums,,,,,0,
AFL: Sydney Swans v Carlton,Sydney Cricket Ground,afl,Aus Football,,7:30PM,,,,Austadiums listed crowd,https://www.austadiums.com/sport/event/33014,Austadiums,,,,,0,
AFL: Sydney Swans v GWS Giants,Sydney Cricket Ground,afl,Aus Football,,7:50PM,,,,Austadiums listed crowd,https://www.austadiums.com/sport/event/33147,Austadiums,,,,,0,
5th Ashes Test: Australia v England (d4),Sydney Cricket Ground,cricket,Cricket,,9:00AM,,,,Austadiums listed crowd,https://www.austadiums.com/sport/event/31843,Austadiums,,,,,0,
Andrea Bocelli,Sydney Cricket Ground,concert,concert/performance,,,,,,,https://www.setlist.fm/venue/sydney-cricket-ground-sydney-australia-63d626d7.html,setlist.fm,,,,,0,
Mitch Tambo,Sydney Cricket Ground,concert,concert/performance,,,,,,,https://www.setlist.fm/venue/sydney-cricket-ground-sydney-australia-63d626d7.html,setlist.fm,,,,,0,
Royale with Cheese,Sydney Cricket Ground,concert,concert/performance,,,,,,,https://www.setlist.fm/venue/sydney-cricket-ground-sydney-australia-63d626d7.html,setlist.fm,,,,,0,
Noel Gallagher’s High Flying Birds,Sydney Cricket Ground,concert,concert/performance,,,,,,,https://www.setlist.fm/venue/sydney-cricket-ground-sydney-australia-63d626d7.html,setlist.fm,,,,,0,
U2,Sydney Cricket Ground,concert,concert/performance,,,,,,,https://www.setlist.fm/venue/sydney-cricket-ground-sydney-australia-63d626d7.html,setlist.fm,,,,,0,
The Rubens,Sydney Cricket Ground,concert,concert/performance,,,,,,,https://www.setlist.fm/venue/sydney-cricket-ground-sydney-australia-63d626d7.html?page=2,setlist.fm,,,,,0,
